pattern,display_name,paper_archetype,variant_kind,variant_notes,description,paper_mapping,included_in_frozen_comparison,rank,n_queries,mean_3judge
base_p1,P1 Iterative RAG,P1 Iterative RAG,base pattern,"Classical agentic RAG loop; retrieves, reasons, and retrieves again until reflection is satisfied or three rounds elapse.","Frozen public identifier for the historical P1 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,1,90,0.6734
base_p4,P4 STORM,P4 STORM,base pattern,"STORM and Co-STORM inspired pipeline with multi-perspective conversations and cross-perspective triangulation.","Frozen public identifier for the historical P4 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,2,90,0.6397
base_p6,P6 Reactive,P6 Reactive,base pattern,"WebThinker-inspired controller where the model chooses search read or write actions at each step.","Frozen public identifier for the historical P6 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,3,87,0.634
base_p7,P7 Graph,P7 Graph,base pattern,"MindSearch-inspired dynamic sub-query graph expansion.","Frozen public identifier for the historical P7 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,4,90,0.6301
base_p8,P8 Beam,P8 Beam,base pattern,"DeepDiver and AI-Scientist inspired beam over research-direction hypotheses with pruning to a surviving set.","Frozen public identifier for the historical P8 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,5,90,0.625
base_p5,P5 Hierarchical W&D,P5 Hierarchical Width-and-Depth,base pattern,"Hierarchical width-and-depth scheduling with meta-evaluation.","Frozen public identifier for the historical P5 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,6,89,0.6007
base_p2,P2 Supervisor,P2 Supervisor,base pattern,"Supervisor-worker orchestration that plans, fans out parallel sub-agents, and fuses their outputs.","Frozen public identifier for the historical P2 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,7,90,0.5853
base_p3,P3 MERIDIAN,P3 MERIDIAN,base pattern,"Topic-mining pipeline with a quality-evaluator self-loop.","Frozen public identifier for the historical P3 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,8,89,0.5697
base_p0,P0 Single-pass,P0 Single-pass,base pattern,"Single retrieval round followed by one synthesis call.","Frozen public identifier for the historical P0 baseline used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,9,90,0.4884
base_p11,P11 ReAct,P11 ReAct,post-hoc single-judge probe,"Verbatim ReAct controller included for context; it is not part of the P0-P10 base sweep and has incomplete judge coverage in the compact metrics CSV.","Frozen public identifier for the historical P11 probe used in the compact 13-row reference table.","Paper A Table 14 single-judge probe and compact public reference table",true,10,89,0.4002
base_p10,P10 DeepResearcher,P10 DeepResearcher,local 7B contrast,"GAIR DeepResearcher-7b RL-trained end-to-end tool-use agent in the local-7B contrast.","Frozen public identifier for the historical P10 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,11,90,0.3358
base_p9,P9 Qwen2.5-7B,P9 Qwen2.5-7B,local 7B contrast,"P0 scaffold run on a Qwen2.5-7B backbone for the local-7B contrast.","Frozen public identifier for the historical P9 configuration used in the compact 13-row reference table.","Paper A Table 14 and compact public reference table",true,12,90,0.2577
base_p12,P12 RL ours,P12 RL ours,post-hoc single-judge probe,"In-house GRPO-trained 7B agent included for context; it is not part of the P0-P10 base sweep and has incomplete judge coverage in the compact metrics CSV.","Frozen public identifier for the historical P12 probe used in the compact 13-row reference table.","Paper A Table 14 single-judge probe and compact public reference table",true,13,90,0.241
