script,family,public_status,required_inputs_or_services,expected_outputs,summary
_dr_judge_worker.py,worker,internal worker helper,called by local DR-Judge validation/training scripts; requires optional local model stack,subprocess worker outputs managed by caller,Single-batch DR-Judge inference worker — runs in its own process so a
_inspect_all.py,developer inspection,historical analysis helper,optional local raw/result files,console inspection only,"import json, glob"
_inspect_schemas.py,developer inspection,historical analysis helper,optional local raw/result files,console inspection only,"import json, glob"
_p12_reward_worker.py,worker,internal worker helper,called by parent scripts; provider keys or local artifacts depending on parent,subprocess worker outputs managed by caller,DR-Judge reward worker for P12 GRPO training.
assemble_paper.py,paper assembly,historical analysis helper,paper source and TeX/pandoc-era tooling; prefer deep-research paper rebuild paper-a,generated manuscript artifacts,Assemble paper.md from expanded sections_v2/*.md files.
b2_gpu_watcher.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,"B2 external-validity watcher: the orchestration-on-7B run needs ~13GB free VRAM, but the"
build_a2_e14_oracle_p9p10_and_rxu.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild","A2 / E14 — Land P9 & P10 in the oracle arm, and scaffold the claim-level"
build_analysis_dataframes.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",Build canonical analysis dataframes for the Deep Research Projects evaluation.
build_citation_url_verification.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",Build the `citation_url_verification` canonical key.
build_compute_ledger.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",Per-architecture COMPUTE LEDGER for the matched-compute claim.
build_contamination_telemetry.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",E6 STC-AUDIT — STEP 1: assemble the contamination telemetry + per-snippet tables.
build_drjudge_error_structure.py,local judge/probe,optional GPU/local-model workflow,optional local DR-Judge/model stack or derived validation artifacts; not the default public judge path,local validation or derived judge summaries,DR-Judge-7B REAL error-correlation structure -> canonical key ``drjudge_error_structure``.
build_e10_3family.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",E10 noise-RL — extend the held-out endpoint to the full 3-family panel.
build_e10_noise_rl.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",E10 noise-RL — canonicalise the held-out GPT-5.2 endpoint into 'e10_noise_rl'.
build_e11_vtr.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",build_e11_vtr.py — canonical-landing builder for the 'e11_vtr' key.
build_e12_extval.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",build_e12_extval.py — canonical-landing builder for the 'e12_extval' key.
build_e4_transforms.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild","E4 CITE-CAUSAL — Step 1+2+3: stratified sample, deterministic citation transforms,"
build_e5_dose_response.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",E5 DOSE-RESPONSE — canonical recompute with a ONE-SIDED slope CI (prereg primary).
build_e5_equivalence.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",T1_tost_power (a) — EQUIVALENCE tests for the E5 asserted nulls (EXPLORATORY margins).
build_e5_gold_consumption.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",E5 GOLD-CONSUMPTION manipulation check (T1 blocker; Paper-5 synthesis-bottleneck mechanism).
build_e6_decontamination.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",build_e6_decontamination.py — canonical-landing builder for 'e6_decontamination'.
build_e7_selector_kappa.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",E7 SELECTOR-KAPPA — canonicalise the realizable best-of-N selector contrast at matched
build_e8_vintage.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",E8 VINTAGE — 2-point achievable gap-vs-release-date curve on the frozen P9 scaffold.
build_frozen_vintage.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",build_frozen_vintage.py — canonical-landing builder for the 'frozen_vintage' key.
build_headline_replicated.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",build_headline_replicated.py — canonical-landing builder for 'headline_replicated'.
build_human_anchor_summary.py,human-evaluation support,requires non-public raw artifacts,non-public evaluator packets/labels when rebuilding raw human-calibration artifacts,anonymized summaries or local packets,build_human_anchor_summary.py — canonical-landing builder for 'human_anchor_summary'.
build_local_benchmark.py,derived-data builder,historical analysis helper,optional raw artifacts or derived analysis tables,derived tables/JSON,A3_localbench: ingest the P9/P10 local 7B-tier benchmark judge verdicts into canonical.
build_oracle_corpus.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",Build the Tier-1 'pooled existing' oracle corpus.
build_perturbation_set.py,derived-data builder,historical analysis helper,optional raw artifacts or derived analysis tables,derived tables/JSON,E13' — Constructed ground-truth perturbation set for detection ROC.
